company_id,company_name,year,quarter,report_type,revenue_q,revenue_q_prev,revenue_yoy,gross_profit_q,gross_profit_q_prev,gross_profit_yoy,operating_income_q,operating_income_q_prev,operating_income_yoy,net_income_q,net_income_q_prev,net_income_yoy,eps_q,eps_q_prev,eps_change_q,revenue_ytd,revenue_ytd_prev,revenue_ytd_yoy,gross_profit_ytd,gross_profit_ytd_prev,gross_profit_ytd_yoy,operating_income_ytd,operating_income_ytd_prev,operating_income_ytd_yoy,net_income_ytd,net_income_ytd_prev,net_income_ytd_yoy,eps_ytd,eps_ytd_prev,eps_change_ytd,total_assets_q,total_assets_q_prev,total_liabilities_q,total_liabilities_q_prev,debt_ratio_q,debt_ratio_q_prev,debt_ratio_yoy_change,gross_margin_q,gross_margin_q_prev,gross_margin_yoy_change,operating_margin_q,operating_margin_q_prev,operating_margin_yoy_change,net_margin_q,net_margin_q_prev,net_margin_yoy_change
4306,炎洲股份有限公司,2025,3,合併,3424.4,4334.99,-21.01,496.54,699.78,-29.04,90.36,258.71,-65.07,92.11,167.9,-45.14,0.14,0.26,-0.12,9536.32,12523.64,-23.85,1465.45,2173.01,-32.56,291.05,867.61,-66.45,166.82,820.44,-79.67,0.25,1.28,-1.03,36862.52,35653.34,23722.09,22093.48,64.35,61.97,2.38,14.5,16.14,-1.64,2.64,5.97,-3.33,2.69,3.87,-1.18
4414,如興股份有限公司,2025,3,合併,3693.01,4403.82,-16.14,637.08,789.91,-19.35,97.43,222.28,-56.17,162.27,-13.09,1339.65,0.62,-0.09,0.71,10367.9,10840.44,-4.36,2027.79,1771.99,14.44,359.15,151.31,137.36,4.56,-250.3,101.82,0.02,-1.73,1.75,12642.97,13244.48,8365.8,9442.41,66.17,71.29,-5.12,17.25,17.94,-0.69,2.64,5.05,-2.41,4.39,-0.3,4.69
4426,利勤實業股份有限公司,2025,3,合併,215.1,232.03,-7.3,-42.9,-24.12,-77.86,-101.01,-88.66,-13.93,-72.4,-106.25,31.86,-0.42,-0.62,0.2,651.56,735.41,-11.4,-107.27,-15.98,-571.28,-275.78,-187.45,-47.12,-401.53,-162.97,-146.38,-2.33,-0.94,-1.39,4305.18,4704.82,2335.88,2211.12,54.26,47.0,7.26,-19.94,-10.39,-9.55,-46.96,-38.21,-8.75,-33.66,-45.79,12.13
4438,廣越企業股份有限公司,2025,3,合併,7271.34,6584.09,10.44,1093.31,999.69,9.36,623.3,552.35,12.85,518.2,390.61,32.66,5.05,3.78,1.27,14831.96,13084.5,13.36,2179.63,1854.19,17.55,877.34,643.52,36.33,352.92,488.85,-27.81,3.43,4.73,-1.3,22248.52,18253.5,12014.03,8126.17,54.0,44.52,9.48,15.04,15.18,-0.14,8.57,8.39,0.18,7.13,5.93,1.2
4439,冠星集團控股有限公司,2025,3,合併,1911.44,1389.63,37.55,396.57,208.16,90.51,180.35,14.6,1135.27,142.22,30.11,372.33,3.74,0.8,2.94,5624.33,4314.17,30.37,1040.59,764.73,36.07,407.64,221.11,84.36,293.17,137.47,113.26,7.71,3.63,4.08,6222.17,5580.05,3001.99,2335.16,48.25,41.85,6.4,20.75,14.98,5.77,9.44,1.05,8.39,7.44,2.17,5.27
4441,振大環球股份有限公司,2025,3,合併,2258.07,2138.32,5.6,525.13,529.31,-0.79,367.76,383.84,-4.19,377.21,360.67,4.59,6.07,5.98,0.09,5683.63,4409.4,28.9,1279.25,1160.12,10.27,888.48,800.98,10.92,694.04,814.43,-14.78,11.38,13.51,-2.13,8892.65,6530.99,2189.82,1677.02,24.63,25.68,-1.05,23.26,24.75,-1.49,16.29,17.95,-1.66,16.7,16.87,-0.17
4526,東台精機股份有限公司,2025,3,合併,1173.26,1339.75,-12.43,242.21,150.14,61.32,-112.84,-182.36,38.12,11.47,-140.19,108.18,0.05,-0.55,0.6,3983.39,4032.58,-1.22,740.16,548.36,34.98,-415.97,-553.72,24.88,663.08,-386.84,271.41,2.61,-1.52,4.13,12971.06,12913.79,8014.02,7947.21,61.78,61.54,0.24,20.64,11.21,9.43,-9.62,-13.61,3.99,0.98,-10.46,11.44
4532,瑞智精密股份有限公司,2025,3,合併,3837.23,4982.94,-22.99,574.56,732.34,-21.54,110.68,183.55,-39.7,155.82,148.33,5.05,0.31,0.3,0.01,15924.03,16072.81,-0.93,2630.79,2497.8,5.32,1072.01,940.64,13.97,742.8,723.75,2.63,1.5,1.45,0.05,26921.77,28086.2,16141.18,16911.32,59.96,60.21,-0.25,14.97,14.7,0.27,2.88,3.68,-0.8,4.06,2.98,1.08
4536,拓凱實業股份有限公司,2025,3,合併,2417.87,2600.1,-7.01,840.41,883.02,-4.83,480.71,533.0,-9.81,350.92,319.92,9.69,3.86,3.52,0.34,7333.84,6821.5,7.51,2639.54,2353.64,12.15,1524.86,1329.06,14.73,1097.24,1103.28,-0.55,12.08,12.15,-0.07,13632.22,14617.71,4223.2,5718.29,30.98,39.12,-8.14,34.76,33.96,0.8,19.88,20.5,-0.62,14.51,12.3,2.21
4540,全球傳動科技股份有限公司,2025,3,合併,674.4,495.56,36.09,28.97,-9.73,397.74,-128.25,-119.52,-7.3,-90.71,-89.01,-1.91,-0.81,-0.93,0.12,1788.79,1664.49,7.47,118.89,-129.59,191.74,-289.73,-507.86,42.95,-120.41,-340.24,64.61,-1.08,-3.54,2.46,7256.6,6878.89,3939.65,3813.54,54.29,55.44,-1.15,4.3,-1.96,6.26,-19.02,-24.12,5.1,-13.45,-17.96,4.51
4545,銘鈺精密工業股份有限公司,2025,3,合併,635.06,656.9,-3.32,85.45,161.13,-46.97,5.29,71.21,-92.57,18.95,50.45,-62.44,0.25,0.65,-0.4,1828.62,1832.04,-0.19,281.44,459.37,-38.73,47.64,195.22,-75.6,2.41,177.39,-98.64,0.03,2.3,-2.27,3081.52,3235.51,1229.32,1222.3,39.89,37.78,2.11,13.46,24.53,-11.07,0.83,10.84,-10.01,2.98,7.68,-4.7
4551,智伸科技股份有限公司,2025,3,合併,1939.78,2215.68,-12.45,420.79,535.5,-21.42,220.25,336.85,-34.61,270.95,202.25,33.97,2.35,1.76,0.59,5775.28,5707.4,1.19,1334.08,1157.99,15.21,804.62,550.42,46.18,419.37,544.79,-23.02,3.64,4.73,-1.09,13611.7,13649.25,5136.95,5274.58,37.74,38.64,-0.9,21.69,24.17,-2.48,11.35,15.2,-3.85,13.97,9.13,4.84
4552,力達控股有限公司,2025,3,合併,922.04,977.43,-5.67,169.38,200.61,-15.57,113.88,37.62,202.71,100.23,31.56,217.59,0.86,0.27,0.59,2613.87,2679.4,-2.45,507.83,543.94,-6.64,247.09,168.3,46.82,200.04,108.15,84.97,1.72,0.93,0.79,7708.54,7990.65,1740.78,1781.55,22.58,22.3,0.28,18.37,20.52,-2.15,12.35,3.85,8.5,10.87,3.23,7.64
4555,台灣氣立股份有限公司,2025,3,合併,406.67,391.04,4.0,129.99,88.7,46.55,14.77,-25.78,157.29,7.59,-54.84,113.84,0.11,-0.78,0.89,1207.58,1110.25,8.77,369.11,279.73,31.95,37.63,-33.5,212.33,-1.32,-50.73,97.4,-0.02,-0.73,0.71,4405.61,4448.88,1560.53,1510.84,35.42,33.96,1.46,31.96,22.68,9.28,3.63,-6.59,10.22,1.87,-14.02,15.89
4557,永新控股股份有限公司,2025,3,合併,907.66,1071.26,-15.27,262.19,301.68,-13.09,-391.51,153.71,-354.71,-308.9,125.79,-345.57,-6.44,3.0,-9.44,3028.65,2747.19,10.25,903.11,789.76,14.35,-88.5,386.98,-122.87,-103.82,309.33,-133.56,-2.24,7.37,-9.61,4665.2,4605.52,2048.49,2248.29,43.91,48.82,-4.91,28.89,28.16,0.73,-43.13,14.35,-57.48,-34.03,11.74,-45.77
4560,強信機械科技股份有限公司,2025,3,合併,405.9,411.46,-1.35,135.72,129.76,4.59,48.56,41.27,17.66,46.94,38.81,20.95,0.69,0.57,0.12,1259.83,1157.69,8.82,458.79,374.6,22.47,192.89,111.09,73.63,147.17,91.58,60.7,2.16,1.34,0.82,2260.42,2267.22,418.54,431.44,18.52,19.03,-0.51,33.44,31.54,1.9,11.96,10.03,1.93,11.56,9.43,2.13
